T,D,P
飯,밥,はん/めし
混,섞이다,こん/こむ·まざる·まじる·ま ぜる
喜,기쁘다,き/よろこぶ
発,발하다,はつ·ほつ
機,"기계, 기회",き/はた
乱,혼란,らん/みだす·みだれる
公,공공,こう/おおやけ
件,사건,け ん
尊,존경하다,そん/たっとい·たっとぶ·とうとい·とうとぶ
大,크다,たい·だい/おお·おおいに·おおきい
状,상태,じょう
激,격렬하다,げき/はげしい
遅,늦다,ち/おくらす·おくれる·おそい
望,바라다,ぼう·もう/のぞむ
我,"나, 자신",が/ われ·わ
式,형식,しき
的,"목표, ~적",てき/まと
回,"돌다, 돌아가다",かい·え/ まわす·まわる
閉,닫다,へい/しまる·しめる·とじる·とざす
掲,걸다,けい/かかげる
限,제한하다,げん/かぎる
形,모양,ぎょう·けい/かた·かたち
縛,묶다,ばく/しばる
思,생각하다,し/おもう
物,물건,ぶつ·もつ/もの
応,응답하다,おう/こたえる
接,접촉하다,せつ/つぐ
土,흙,と·ど/つち
皆,모두,かい/みな
自,자신,し·じ/みずから
意,"뜻, 의도",い
達,도달하다,たつ
維,유지하다,い
族,"가족, 종족",ぞく
悩,고민하다,のう/なやます·なやむ
位,위치,い/くらい
続,계속하다,ぞく/つづく·つづける
余,남다,よ/あます·あまる
口,입,く·こう/くち
再,다시,さ·さい/ふたたび
世,세상,せ·せい/よ
飛,날다,ひ/とばす·とぶ
語,"말하다, 언어",ご/かたらう·かたる
席,자리,せき
争,다투다,そう/あらそう
怒,화내다,ど/いかる·おこる
奪,빼앗다,だつ/うばう
高,높다,こう/たか·たかい·たかまる·たかめる
酬,보답하다,しゅう
優,"뛰어나다, 친절하다",ゆう/すぐれる·やさしい広,넓다,こう/ひろい·ひろがる·ひろげる·ひろまる·ひろめる
東,동쪽,とう/ひがし
負,"지다, 부정적이다",ふ/おう·まかす·まける
彼,그,ひ/かの·かれ
近,가깝다,きん/ちかい
名,이름,みょう·めい/な
振,흔들다,しん/ふる·ふるう·ふれる
他,다른,た/ほか
両,양쪽,りょう
姿,모습,し/すがた
曜,요일,よう
喉,목구멍,こう/のど
視,보다,し
雰,분위기,ふん
嬉,기쁘다,き/あそぶ·うれしい·たのしむ
点,"점수, 점",てん
考,생각하다,こう/かんがえる
念,"생각, 염원",ねん
捧,받들다,ほう/かかえる·ささげる
申,말하다,しん/もうす
学,배우다,がく/まなぶ
寒,춥다,かん/さむい
史,역사,し
面,"얼굴, 표면",めん/おも·おもて·つら
何,무엇,か/なに·なん
局,"국, 부서",きょく
交,"교환하다, 사귀다",こう/まざる·まじえる·まじる·まじわる·まぜる·かう·かわす
予,"미리, 예정",よ
叱,꾸짖다,しつ/しかる
終,끝내다,しゅう/おえる·おわる
養,기르다,よう/やしなう
域,영역,いき
歳,나이,さい·せい
伝,전하다,でん/つたう·つたえる·つたわる
子,아이,し·す/こ
頭,머리,ず·とう·と/あたま·かしら
習,배우다,しゅう/ならう
叶,이루다,きょう/かなう
謝,사과하다,しゃ/あやまる
祝,축하하다,しゅく·しゅう/いわう
取,취하다,しゅ/とる
