T,D,P
確率,[명사] 수학 확률,かくりつ,
理性,[명사] 이성,りせい,
身体的,[명사] 신체적,しんたいてき,
精神的,[ダナ] 정신적,せいしんてき,
怪我,"[명사, ス자동사·타동사] 1.상처, 부상, 다침 2.잘못, 과실, 손실",けが,
純粋,"[명사, ダナ] 1.순수 2.불순물이 없는것",じゅんすい,
最小限,[명사] 최소한,さいしょうげん,
落胆,"[명사, ス자동사] 낙담",らくたん,
心臓,"[명사] 1.심장 2.염통 3.(기계나 조 직의) 중심부, 원동력",しんぞう,
罪人,[명사] 죄인,つみびと,
周辺,[명사] 주변,しゅうへん,
制限,"[명사, ス타동사] 제한",せいげん,
社会性,"[명사] 사회성, 사교성",しゃかいせい,
別状,"[명사] 다른 상태, 보통과 다른 모양, 이상한 모양",べつじょう,
質問,"[명사, ス자동사·타동사] 질문",しつもん,
退社,"[명사, ス자동사] 1.퇴사 2.퇴직 3. 퇴근",たいしゃ,
挫折感,[명사] 좌절감,ざせつかん,
遊泳,"[명사, ス자동사] 1.유영, 헤엄침 2.처세",ゆうえい,
無気力,"[명사, ダナ] 무기력",むきりょく,
証明,"[명사, ス타동사] 증명",しょうめい,
事務,[명사] 사무,じむ,
是非,"[명사] 시비, 옳고 그름, 잘잘못",ぜひ,
本能,[명사] 본능,ほんのう,
解決策,[명사] 해결책,かいけつさく,
絶望,"[명사, ス자동사] 절망",ぜつぼう,
未来,[명사] 미래,みらい,
中止,"[명사, ス타동사] 중지",ちゅうし,
病院,[명사] 병원,びょういん,
一方,"[명사] 1.일방 2.한 방면, 한 방향 3.한쪽, 한편 ,",いっぽう,
悪材料,"[명사] 1.악재료, 악재 2.악조건",あくざいりょう,
事実,"[명사] 사실, 실제로 일어난, 또는 있 는 일",じじつ,
位置,"[명사, ス자동사] 1.위치 2.사물이 있는 곳, 장소 3.지위, 입장, 자리",いち,
要素,[명사] 1.요소 2.사물 성립의 근본 조 건 3.그 이상 더 간단하게 나눌 수 없는 성분,ようそ,
防止,"[명사, ス타동사] 방지",ぼうし,
一応,"[부사] 1.우선, 어떻든, 일단, 하여 튼 2.한 번, 한 차례",いちおう,
感傷,"[명사] 감상, 사물에서 받은 느낌 으로 마음 아파 하는 것, 또, 그런 경향",かんしょう,
回避,"[명사, ス타동사] 회피",かいひ,
結局,"[명사] 1.한 판을 다 두는 것 2.결국, 결말, 끝나 게 됨 / [부사] 결국, 일의 마무리에 이르러서.",けっきょく,
消耗,"[명사, ス자동사·타동사] 1.소모 2.사용하여 줄이 거나 없애는 것",しょうもう,
自負,"[명사, ス자동사] 자부, 또, 자부하는 마음",じふ,
短所,"[명사] 단처, 단점, 결점",たんしょ,
放置,"[명사, ス타동사] 방치, 그대로 내버려 두는 것",ほうち,
現副審,[명사] 부심,ふくしん,
支持,"[명사, ス타동사] 1.지지 2.지탱하고 버 티는 것 3.어떤 의견‧주장 등에 찬성하고 원조하는 것",しじ,
責任,"[명사] 1.책임 2.도맡아 해야 할 임 무, 의무 3.자신이 한 일의 결과에 대한 의무나 부담",せきにん,
作業,"[명사, ス자동사] 작업",さぎょう,
致命的,[ダナ] 치명적,ちめいてき,
見落,"[명사, ス타동사] 간과, 못보고 넘김[빠뜨림]",みおとし,
特定,"[명사, ス타동사] 특정, 특별히 지정하는 것",とくてい,
巨大,[명사] 거대,きょだい,
父親,"[명사] 부친, 아버지",ちちおや,
心的,[ダナ] 심적,しんてき,
権力,[명사] 권력,けんりょく,
文 体,[명사] 문체,ぶんたい,
悪循環,"[명사, ス자동사] 악순환",あくじゅんかん,
直後,[명사] 1.직후 2.바로 뒤,ちょくご,
無力,[명사ノナ] 무력,むりょく,
慰労,"[명사, ス타동사] 위로",いろう,
是非,"[명사] 시비, 옳고 그름, 잘잘못",ぜひ,
