T,D,P
平和,"[명사, ダナ] 평화, 싸움이나 근심 걱 정이 없이 평온 한 모양",へいわ,
天国,"[명사] 천국, 낙원",てんごく,
可能,[명사ノナ] 가능,かのう,
自分,"[명사] 자기, 자신, 스스로",じぶん,
人間,"[명사] 1.인간 2.사람 3.사람이 사는 곳, 세상",にんげん,
最近解,[명사] 1.최근 2.현재에서 가장 가까운 과거 3.몇 개 중에서 가장 가까움,さいきん,
到底挑戦,"[부사] 1.도저히, 아무리 하여도 2.결국, 드디어",とうてい,
一番,"[명사] 1.일 번, 첫째 2.상책, 최상의 방법 / [부사] 1.가장, 제일 2.시험 삼아, 우선, 한번",いちばん,
一刻,[명사] 1.일각 2.짧은 시간,いっこく,
社会問題,[명사] 사회 문제,しゃかいもんだい,
関連,"[명사, ス자동사] 관련, 연관",かんれん,
論理的,[ダナ] 논리적,ろんりてき,
仲間,"[명사] 1.한패, 동아리, 동료 2.동류, 한 무리 3.근세 에 상공업자의 독점적인 동업 조합",なかま,
普段着,[명사] 평상복,ふだんぎ,
扇動,"[명사, ス타동사] 선동",せんどう,
渇望,"[명사, ス타동사] 갈망, 열망, 소원",かつぼう,
精髄,"[명사] 정수, 진수, 핵심",せいずい,
勇気,[명사] 용기,ゆうき,
嫉妬心,[명사] 투기심,しっとしん,
当該,"[연체사] 당해, 해당",とうがい,
処断,"[명사, ス타동사] 처단",しょだん,
気弱,"[명사, ダナ] 심약함, 마음이 약한 성질",きよわ,
添付,"[명사, ス타동사] 첨부",てんぷ,
学習,"[명사, ス타동사] 학습, 배워서 익힘",がくしゅう,
挨拶,"[명사, ス자동사] 1.인사 2.서로 만나거나 헤어질 때 예를 표하는 말이나 행동 ",あいさつ,
懸念,"[명사, ス타동사] 1.괘념, 걱정, 근심, 불안 2.불교 집념, 집착",けねん,
何度,"[명사] 1.몇 번, 여러 번",なんど,
人前,[명사] 1.남의 앞 2.사람들이 있는[보는] 곳 3.체면,ひとまえ,
照明,"[명사, ス타동사] 조명",しょうめい,
感嘆,"[명사, ス자동사] 감탄",かんたん,
以上,"[명사] 1.이상 2.(수량이) …보다 많 음, …보다 위임 3.이제까지",いじょう,
感情的,[ダナ] 감정적,かんじょうてき,
意欲,[명사] 의욕,いよく,
名分,"[명사] 1.명분 2.신분·입장에 따라 지켜야 할 본분 3.명목, 표면 상의 이유",めいぶん,
自由,"[명사, ダナ] 자유, 자신의 뜻대로 행 동할 수 있는 것이나 상태",じゆう,
状態,[명사] 상태,じょうたい,
拡張,"[명사, ス타동사] 확장, 범위·규 모 등을 넓혀 크게 하는 것",かくちょう,
程度,"[명사] 1.정도 2.(고저·강약·대소·다소·우열 등의) 분량, 수준",ていど,
門外漢,[명사] 문외한,もんがいかん,
宿命,[명사] 숙명,しゅくめい,
無神論者,[명사] 무신론자,むしんろんしゃ,
暴走,"[명사, ス자동사] 1.폭주 2.난폭하게 달림 3. 운전사 없는 차가 내달림",ぼうそう,
飛行機,"[명사] 비행기, 동력으로 프로펠러를 돌리거나 연 소 가스에 의한 양력을 이용한 항공기",ひこうき,
適度,"[ダナノ] 적도, 적당한 정도, 알맞은 정도",てきど,
不自然,"[명사, ダナノ] 부자연",ふしぜん,
欠点,"[명사] 1.결점, 단점 2.(학교 성적에서) 낙제점",けってん,
痕跡,"[명사] 흔적, 자국",こんせき,
資金,[명사] 자금,しきん,
自信,"[명사] 자신(감), 자기의 사고방식∙능 력∙행동 등을 확신하는 것",じしん,
現実的,[ダナ] 현실적,げんじつてき,
無条件,[명사] 무조건,むじょうけん,
破滅,"[명사, ス자동사] 파멸, 멸망",はめつ,
立場,"[명사] 1.설 곳, 발판 2.입장, 처지, 조건, 형편 3.관점, 견지",たちば,
叱咤,"[명사, ス타동사] 질타",しった,
鋼鉄,[명사] 강철,こうてつ,
露出,"[명사, ス자동사·타동사] 1.노출 2.밖으로 드러남[드러냄]",ろしゅつ,
課題,"[명사] 1.과제 2.주어진 주제[제목], 풀어야 할 문제 3.해결해야 할 문제, 주어진 임무",かだい,
錯覚,"[명사, ス자동사] 착각",さっかく,
熱心,"[명사, ダナ] 열심(임),열성[열정]을 쏟아붓는 것, 또, 그 모양",ねっしん,
