T,D,P
糸,실,し/いと,糸
舟,배,しゅう/ふな·ふね,舟
犬,개,けん/いぬ,犬
八,여덟,はち/や·やつ·やっつ·よう,八
己,나,こ·き/おのれ(おれ),己
牙,이빨,げ·が/きば,牙
穴,구멍,けつ/あな,穴
走,달리다,そう/はしる,走
十,열,じっ·じゅう/と·とお,十
玉,"구슬, 보석",ぎょく/たま,玉
羽,깃털,う/は·はね,羽
臣,신하,しん·じん/,臣
非,아니다(비),ひ/,非
士,"[변호,검,의]사,학자",し/,士
雨,비,う/あま·あめ,雨
土,"흙, 땅",と·ど/つち,土
爪,발톱,/つま·つめ,爪
牛,소,ぎゅう/うし,牛
米,쌀,べい·まい/こめ,米
老,늙다,ろう/おいる·ふける,老
水,물,すい/みず,水
耳,귀,じ/みみ,耳
石,돌,しゃく·せき·こく/いし,石
子,아이,し·す/こ,子
生,"살다, 생명",しょう·せい/いかす·いきる·いける·うまれる·うむ·なま·はえる·はやす·おう·き,生
食,먹다,しょく·じき/くう·たべる·くらう,食
自,스스로,し·じ/みずから,自
止,멈추다,し/とまる·とめる,止
立,"세우다, 일어서다",りつ·りゅう/たつ·たてる,立
目,눈,もく·ぼく/め·ま,目
舌,혀,ぜつ/した,舌
貝,조개,/かい,貝
川,강,せん/かわ,川
示,"보여주다, 나타내다",じ·し/しめす,示
手,손,しゅ/て·た,手
缶,깡통,かん/,缶
見,보다,けん/みえる·みせる·みる,見
夕,저녁,せき/ゆう,夕
色,색,しき·しょく/いろ,色
日,"날, 해",じつ·にち/か·ひ,日
干,"말리다, 간섭하다",かん/ほす·ひる,干
言,말하다,げん·ごん/いう·こと,言
