T,D,P
文化,[명사] 문화,ぶんか,
休暇,[명사] 휴가,きゅうか,
意訳,"[명사, ス타동사] 의역",いやく,
人生,"[명사] 1.인생 2.사람이 이 세상에 살아감 3.사람이 사는 기간, 일생",じんせい,
修正,"[명사, ス타동사] 수정, 틀리거나 부족한 부분을 바로잡아 고치는 것",しゅうせい,
個人的,[ダナ] 개인적,こじんてき,
携帯電話,[명사] 휴대 전화,けいたいでんわ,
軍隊,[명사] 군대,ぐんたい,
大体,"[명사] 1.줄거리, 대강, 개요 2.대다수, 대부분 / [부사] 1.대개, 대충, 거의 2.도대체, 도시, 본시, 본래, 애당초",だいたい,
年間,[명사] 1.연간 2.한 해 동안 3.어떤 연대의 동안,ねんかん,
依然,"[부사, トタル] 의연(히), 여전(히), 전과 다름이 없는 모양",いぜん,
連続,"[명사, ス자동사·타동사] 연속, 계속해서 이어지거나 지속하는 것",れんぞく,
一般,"[명사] 1.일반 2.같음, 매일반임",いっぱん,
法典,[명사] 1.법전 2.법률,ほうてん,
適用,"[명사, ス타동사] 적용",てきよう,
検査,"[명사, ス타동사] 검사",けんさ,
努力,"[명사, ス자동사] 노력, 애씀",どりょく,
宝石同士,[명사] 보석,ほうせき,
温室,[명사] 온실,おんしつ,
輪廻,"[명사, ス자동사] 불교 윤회",りんね,
出口,[명사] 출구,でぐち,
集団,[명사] 집단,しゅうだん,
制止,"[명사, ス타동사] 제지, 말림",せいし,
演技,"[명사, ス자동사] 1.연기 2.배우가 배 역의 인물이나 성격 등을 표현해 내는 일",えんぎ,
制裁,"[명사, ス타동사] 제재",せいさい,
毎日,"[명사, 부사] 매일, 날마다",まいにち,
発揮,"[명사, ス타동사] 발휘",はっき,
全部,"[명사] 1.(사물의) 전부, 모두, 전체",ぜんぶ,
嫉妬,"[명사, ス타동사] 질투, 시샘",しっと,
経験談,[명사] 경험담,けいけんだん,
説教,"[명사, ス자동사] 1.설교 2.(교훈 적인) 잔소리",せっきょう,
幼児論,[명사] 1.유아 2.어린아이,ようじ,
堅固,"[명사, ダナ] 1.견고 2.건강함, 튼튼함 3.고어 확실함, 의심 없음",けんご,
発想自体,"[명사, ス자동사·타동사] 1.발상 2.생각, 생각해 냄 3.떠오른 생각을 효과적으로 표시하는 일",はっそう,
年間犯罪,[명사] 1.연간 2.한 해 동안 3. 어떤 연대의 동안,ねんかん,
切実,[ダナノ] 1.절실 2.아주 중요함 3.아주 적절함,せつじつ,
苦難,[명사] 고난,くなん,
自尊心,[명사] 자존심,じそんしん,
期待,"[명사, ス타동사] 기대",きたい,
断絶,"[명사, ス자동사·타동사] 단절",だんぜつ,
作成,"[명사, ス타동사] 작성",さくせい,
成績,"[명사] 1.성적 2.일이나 사업 등의 결과, 성과, 실적 3.학업 평가나 시험 결과",せいせき,
注意,"[명사, ス자동사] 1.주의 2.유의, 관심을 집중함 3.조심, 경계",ちゅうい,
昨日,[명사] 1.어제 2.오늘의 하루 전날 3. 아주 가까운 과거,きのう,
勝手,"[명사, ダナ] 시먹음, 제멋대로 함",かって,
丈夫,"[ダナ] 1.건강함, 강건함 2.견고함, 튼튼함, 단단함",じょうぶ,
罪悪感,[명사]죄책감,ざいあくかん,
原因,"[명사, ス자동사] 원인",げんいん,
正常作動,"[명사, ダナ] 정상, 제대로인 상태임",せいじょう,
座礁,"[명사, ス자동사] 좌초, 배가 암초에 얹힘",ざしょう,
維持,"[명사, ス타동사] 유지",いじ,
植物,[명사] 식물,しょくぶつ,
直言,"[명사, ス타동사] 1.직언 2.믿는 바를 거침없이 말함",ちょくげん,
検索,"[명사, ス타동사] 검색",けんさく,
能力,[명사] 1.능력 2.특정한 일을 할 수 있는 개인의 역량,のうりょく,
順調,"[명사, ダナ] 순조, 순조로움",じゅんちょう,
可愛,"[형용사] 1.귀엽다, 예쁘다 2.작다, 조그맣다 3.사랑스럽다, 깊은 애정을 느끼다",かわいい,
探検,"[명사, ス타동사] 탐험",たんけん,
一方的,[ダナ] 일방적,いっぽうてき,
