T,D,P
指摘,"[명사, ス타동사] 지적",してき,
醤油,"[명사] 장유, 간장",しょうゆ,
恋人,"[명사] 연인, 애인",こいびと,
感謝,"[명사, ス자동사·타동사] 감사, 고맙게 여기는 것, 또, 그 마음",かんしゃ,
偉大,"[명사ノナ] 위대함, 뛰어나고 훌륭한 모양",いだい,
実力,"[명사] 1.실력 2.실제 갖추고 있는 역량 3.강제력, 무력",じつりょく,
苦痛,[명사] 고통,くつう,
半年,[명사] 반년,はんとし,
穀物,"[명사] 곡물, 곡식, 곡류",こくもつ,
大家族,[명사] 대가족,だいかぞく,
混同,"[명사, ス타동사·자동사] 혼동",こんどう,
練習,"[명사, ス타동사] 연습",れんしゅう,
所有,"[명사, ス타동사] 소유",しょゆう,
比較,"[명사, ス타동사] 비교",ひかく,
健康,"[명사, ダナ] 1.건강 2.몸에 탈이 없이 튼튼함 3.건전함",けんこう,
直接書,"[명사, ダナ, ス자동사] 직접, 사이에 아무것도 끼지 않고 접함, 다른 것을 거치지 않고 곧바로임",ちょくせつ,
否定,"[명사, ス타동사] 부정",ひてい,
単純,"[명사, ダナ] 1.단순(함) 2.다른 것이 섞여 있지 않음 3.(구조·기능·생각 등이) 복잡하지 않고 간단한 것",たんじゅん,
悲劇,[명사] 비극,ひげき,
否定的,[ダナ] 부정적,ひていてき,
名門施設,[명사] 명문,めいもん,
期間,[명사] 기간,きかん,
国外,"[명사] 국외, 나라 밖",こくがい,
不思議,"[명사, ダナ] 불가사의, 이상함, 희 한함",ふしぎ,
集中,"[명사, ス자동사·타동사] 집중",しゅうちゅう,
成長,"[명사, ス자동사] 1.성장 2.(사람 이나 동물이) 자라서 성숙함 3.규모가 커짐, 확대, 발전",せいちょう,
感情,[명사] 감정,かんじょう,
全体,"[명사] 1.전체 2.전신, 온몸 / [부사] 1.본디, 원래 2.(의문의 뜻을 강조하여) 도대체",ぜんたい,
文化,[명사] 문화,ぶんか,
緊張,"[명사, ス자동사] 긴장",きんちょう,
国旗,[명사] 국기,こっき,
正常,"[명사, ダナ] 정상, 제대로인 상태임",せいじょう,
正直,"[명사, ダナ] 정직(함), 솔직함",しょうじき,
文章,"[명사] 문장, 글월",ぶんしょう,
結末,[명사] 결말,けつまつ,
過程,"[명사] 과정, 사물이 변화·진행되어 가는 경로",かてい,
暴力的,[ダナ] 폭력적,ぼうりょくてき,
会社,[명사] 1.회사 2.공동의 목적을 이루기 위해 조직된 집단,かいしゃ,
仕事,"[명사] 1.(해야 할) 일, 업무, 행동 2.(생계를 위한) 일, 직업 3.업적, 행동의 결과",しごと,
魅力的,[ダナ] 매력적,みりょくてき,
方法,[명사] 방법,ほうほう,
見出,"[명사] 1.표제, 헤드라인 2.(책이나 장부 등의) 목차, 색인, 차례",みだし,
最善,"[명사] 1.최선 2.가장 좋은 것 3.할 수 있는 모든 것, 전력",さいぜん,
出国,"[명사, ス자동사] 출국",しゅっこく,
一緒,"[명사] 1.함께함, 같이함 3.동반함",いっしょ,
将来,"[명사] 장래, 미래, 전도",しょうらい,
清純,[명사ノナ] 청순,せいじゅん,
心配,"[명사ノナ] 걱정, 근심, 염려, 심려",しんぱい,
余裕,[명사] 여유,よゆう,
誠意,[명사] 성의,せいい,
担当,"[명사, ス타동사] 담당",たんとう,
覚悟,"[명사, ス자동사·타동사] 1.각오 2.(앞으로 닥쳐올 일에 대한) 마음의 준비 3.체념하고 마음을 정함",かくご,
残念,"[명사ノナ] 1.분함, 억울함 2.유감스러움, 아쉬움",ざんねん,
単語,"[명사] 단어, 낱말",たんご,
批判,"[명사, ス타동사] 1.비판 2.사물을 검 토하여 판정·평가하는 것 3.잘못을 지적하여 논하는 것",ひはん,
技能,[명사] 기능,ぎのう,
最後,"[명사] 1.최후, 마지막, 맨 뒤",さいご,
大変,"[명사] 대사건, 중대사",たいへん,
両方,"[명사] 1.양방 2.쌍방, 양자 3.두 방면",りょうほう,
