T,D,P
普段,"[명사, 부사] 항상, 평상시, 평소",ふだん,
天才,"[명사] 천재, 선천적으로 갖추고 있 는 뛰어난 재능, 또, 그런 재능을 가진 사람",てんさい,
直前,[명사] 1.직전 2.바로 앞,ちょくぜん,
精製,"[명사, ス타동사] 정제",せいせい,
該当,"[명사, ス자동사] 해당, 들어맞음[적합함]",がいとう,
一言,"[명사] 일언, 한마디 말, 간단한 말",ひとこと,
身近,"[ダナノ] 1.자기 몸에 가까운 곳, 신변 2.자신과 깊은 관계에 있는 것, 일상 있어 친숙한 모양",みぢか,
話題,[명사] 화제,わだい,
信頼,"[명사, ス타동사] 신뢰, 믿고 의지함",しんらい,
大切,"[ダナ] 1.중요함, 귀중함, 소중함 2.소중히 여겨 조 심히 다루는 모양",たいせつ,
作品,[명사] 작품,さくひん,
意見,"[명사, ス자동사] 1.의견, 어떤 대상에 대하여 가지는 주장·생각 2.훈계함, 타이름",いけん,
賢明,"[명사, ダナ] 현명, 어질고 사리에 밝음",けんめい,
苦衷,[명사] 고충,くちゅう,
破壊,"[명사, ス자동사·타동사] 파괴",はかい,
学生,"[명사] 학생, 특히, 대학생",がくせい,
就職,"[명사, ス자동사] 취직",しゅうしょく,
徹底的,[ダナ] 철저함,てっていてき,
自己,[명사] 1.자기 2.그 사람 자신 3.자아,じこ,
没頭,"[명사, ス자동사] 몰두, 한 가지 일 에만 열중함[집중함]",ぼっとう,
使命,[명사] 사명,しめい,
自責,"[명사, ス자동사] 자책",じせき,
結果的,[ダナ] 결과적,けっかてき,
今後,"[명사] 금후, 차후, 이후",こんご,
年齢,"[명사] 연령, 나이",ねんれい,
不細工,"[명사, ダナ] 1.만듦새[솜씨]가 서투르고 모양이 없음 2.못생김",ぶさいく,
原初的,[명사] 원초적,げんしょてき,
合理,[명사] 합리,ごうり,
発生,"[명사, ス자동사·타동사] 1.발생 2. 일이나 사물이 생겨나는 것",はっせい,
瞬間,"[명사] 순간, 아주 짧은 시간",しゅんかん,
一度,"[명사] 1.한 번, 일 회, 한 차례 2.(부사적으로) 어떤 일을 시험 삼아 시도하는 모양: 한번, 일단",いちど,
下敷,"[명사] 1.물건 밑에 까는 것, 깔개, 받침, 책받침 2.본보기, 바탕, 모범, 표준",したじき,
歓迎,"[명사, ス타동사] 환영",かんげい,
一部,[명사] 1.일부 2.일부분,いちぶ,
距離,"[명사] 거리, 간격",きょり,
滑稽,"[명사, ダナ] 1.우스움 2.골계, 해학, 익살맞음 3.우스꽝스러움",こっけい,
完璧,"[명사, ダナ] 완벽",かんぺき,
安心,"[명사ノナ, ス자동사] 안심",あんしん,
要因,[명사] 요인,よういん,
過小評価,"[명사, ス타동사] 과소 평가",かしょうひょうか,
前向,"[명사, ダナ] 1.정면으로 향함, 앞쪽을 향함 2.사고 방식이 발전적[건설적]·적극적·긍정적임",まえむき,
反論,"[명사, ス자동사·타동사] 반론, 논박",はんろん,
記録,"[명사, ス타동사] 1.기록 2.후일에 남 길 목적으로 사 실을 적는 것, 또, 그 글 ",きろく,
根源,"[명사] 근원, 근본",こんげん,
不可能,[명사ノナ] 불가능,ふかのう,
使用,"[명사, ス타동사] 사용",しよう,
今回,"[명사] 금번, 이번",こんかい,
同様,"[명사, ダナノ] 같음, 같은 모양, 마찬가지임",どうよう,
制作,"[명사, ス타동사] 제작, 예술 작품· 방송 프로그램 따위를 만듦, 또, 그 작품",せいさく,
真昼,"[명사] 한낮, 대낮, 백주",まひる,
投影,"[명사, ス타동사] 1.투영 2.사물의 비친 그림자, 반영",とうえい,
絶対,"[명사] 1.절대 2.비교·대립의 대상이 없는 것 / [부사] 1.무조건, 무슨 일이 있어도 2.결코",ぜったい,
原罪,[명사] 종교 원죄,げんざい,
子供,"[명사] 1.아이, 어린아이 2.자식, 아들딸 3.생각이 모 자람, 또, 그러한 사람",こども,
被害,[명사] 피해,ひがい,
当時,"[명사] 1.당시 2.그 무렵, 그때 3.[노 인어] 현금, 현 재, 요즈음",とうじ,
緩和,"[명사, ス자동사·타동사] 완화",かんわ,
警察官,[명사] 경찰관,けいさつかん,
永遠,"[명사, ダナ] 영원(함)",えいえん,
