T,D,P
谷,골짜기,こく/たに,谷
几,탁자,き/つくえ·ひじかけ,几
大,크다,たい·だい/おお·おおいに·おおきい,大
女,여자,じょ·にょ·にょう/おんな·め,女
斤,"근(무게단위), 도끼",きん/,斤
白,하얗다,はく·びゃく/しら·しろ·しろい,白
角,"모서리, 구석",かく/かど·つの,角
王,왕,おう/,王
赤,붉을,せき·しゃく/あか·あかい·あからむ·あからめる,赤
戶,문(출입구),こ/と,戸
月,월,がつ·げつ/つき,月
羊,양,よう/ひつじ,羊
至,이를,し/いたる,至
支,지탱하다,し/ささえる,支
門,문,もん/かど,門
戈,창(무기),か/いくさ·ほこ,戈
毛,털,もう/け,毛
虫,벌레,ちゅう/むし,虫
竹,대나무,ちく/たけ,竹
瓦,기와,が/かわら,瓦
木,나무,ぼく·もく/き·こ,木
血,피,けつ/ち,血
行,"하다,가다",ぎょう·こう·あん/いく·おこなう·ゆく,行
口,입,く·こう/くち,口
火,불,か/ひ·ほ,火
一,하나,いち·いつ/ひと·ひとつ,一
衣,옷,い/ころも,衣
香,향기,こう·きょう/か·かおり·かおる,香
二,둘,に/ふた·ふたつ,二
巾,"수건, 천",きん/,巾
身,몸(신체),しん/み,身
力,힘,りき·りょく/ちから,力
邑,마을,おう·ゆう/うれえる·くに·みやこ·むら,邑
心,마음,しん/こころ,心
片,조각,へん/かた,片
卜,점치다,ほく· ぼく/うらない·うらなう,卜
革,가죽,かく/かわ,革
玄,"깊은, 검은, 신비한",げん/,玄
靑,푸른색,せい·しょう/あお·あおい,青
父,아버지,ふ/ちち,父
小,작은,しょう/お·こ·ちいさい,小
