T,D,P
言葉,"[명사] 1.말 2.(말하는) 말, 이야기 3.언어",ことば,
負担,"[명사, ス타동사] 1.부담 2.어떤 일의 의무나 책임을 지는 것",ふたん,
勉強,"[명사, ス자동사·타동사] 1.(학업·일 따위에) 열심히 힘을 기울임, 공부 ",べんきょう,
簡単,"[명사, ダナ] 1.간단 2.사물이 단순 하여 이해나 취급이 쉬운 것, 또, 그런 모양 3.시간이나 수고가 들지 않는 것, 또, 그런 모양",かんたん,
広告,"[명사, ス타동사] 광고",こうこく,
爽快,"[명사, ダナ] 상쾌함, 산뜻하고 기분이 좋은 것",そうかい,
報酬,"[명사] 보수, 근로의 대가로 주는 돈이나 물품",ほうしゅう,
資料,"[명사] 자료, 바탕이 되는 재료",しりょう,
興味,"[명사] 흥미, 어떤 대상에 대하여 관심을 기울이는 경향",きょうみ,
短期間,[명사] 단기간,たんきかん,
今日,[명사] 1.오늘 2.금일 3.같은 날짜[요 일]의 날,きょう,
小学生,"[명사] 소학생, 초등학교 학생",しょうがくせい,
一週間,"[명사] 한 주간, 일주일간, 7일간",いっしゅうかん,
時点,[명사] 시점,じてん,
孤独,[명사ナノ] 1.고독 2.(친구·친척이 없 이) 외톨이인 것,こどく,
実家,"[명사] 1.실가 2.생가, 자신이 태어난 집, 부모의 집 3.친정, 양자의 생가",じっか,
小説家,[명사] 소설가,しょうせつか,
自炊,"[명사, ス자동사] 1.자취, 손수 식사를 준비하는 것 2.종이 서적을 디지털화하는 것",じすい,
出会,"[명사, ス자동사] 만남, 마주침, 해후",しゅっかい,
小説,[명사] 소설,しょうせつ,
保持,"[명사, ス타동사] 보유, 계속 유지함",ほじ,
必要,[명사ノナ] 필요(함),ひつよう,
自制,"[명사, ス타동사] 자제, 자기 억제",じせい,
方向,[명사] 1.방향 2.방침,ほうこう,
敬語,"[명사] 경어, 높임말",けいご,
問題,[명사] 문제,もんだい,
普通,"[부사] 보통, 대개, 일반적으로",ふつう,
背景,[명사] 배경,はいけい,
鶏肉,"[명사] 계육, 닭고기",けいにく,
一生懸命,"[명사, ダナ] 목숨 걸고 일을 함, 매우 열심히 함",いっしょうけんめい,
突然,"[부사] 돌연, 갑자기",とつぜん,
副作用,[명사] 부작용,ふくさよう,
充電,"[명사, ス자동사·타동사] 충전",じゅうでん,
意味,"[명사, ス타동사] 1.의미, 뜻 2.말의 뜻 3.(표현이나 행동의) 의도, 까닭",いみ,
金曜日,[조수사] 금요일,きんようび,
解決,"[명사, ス자동사·타동사] 해결",かいけつ,
会話,"[명사, ス자동사] 회화, 만나서 이야 기를 나누는 것, 또, 그 이야기",かいわ,
快適,"[명사, ダナ] 쾌적(함)",かいてき,
失礼,"[명사ノナ, ス자동사] 1.실례 2.예의가 없음, 무례(함)]",しつれい,
疑問,[명사] 의문,ぎもん,
約束,"[명사, ス타동사] 1.약속 2.언약 3.(사회 일반의) 규칙, 규정",やくそく,
希望,"[명사, ス타동사] 희망",きぼう,
理解,"[명사, ス타동사] 1.이해 2.사리를 분 별하여 해석함, 깨달아 앎 3.남의 입장이나 기분을 잘 헤아림",りかい,
全文,[명사] 전문,ぜんぶん,
就寝,"[명사, ス자동사] 취침",しゅうしん,
現実,[명사] 현실,げんじつ,
本当,"[명사] 1.진실, 정말, 진짜, 사실, 진정함 2.정상임, 제대로임 3.정말이지, 실로, 참으로",ほんとう,
苦労,"[명사ノナ, ス자동사] 1.노고, 고생, 애씀 2.(‘ご苦労’의 꼴로) 남에게 폐를 끼치는 것",くろう,
混乱,"[명사, ス자동사] 혼란",こんらん,
日常的,[ダナ] 일상적,にちじょうてき,
実際,"[명사] 1.실제 2.있는 그대로의 모습, 본모습, 실태 / [부사] / [정말로, 참으로.]",じっさい,
部分,"[명사] 부분, 전체를 여러 개로 나눈 것 중의 하나",ぶぶん,
留学,"[명사, ス자동사] 유학",りゅうがく,
手首,[명사] 손목,てくび,
内容,"[명사] 1.내용 2.내용물, 알맹이",ないよう,
結論,"[명사, ス자동사] 1.결론 2.최종적으로 판단을 내림",けつろん,
素敵,"[ダナ] 썩 뛰어남, 매우 근사함, 아주 멋짐",すてき,
睡眠,"[명사, ス자동사] 1.수면 2.잠을 자 는 일 3.활동을 쉬는 상태",すいみん,
間違,"[명사] 1.틀림, 잘못, 오류 2.실수, 과실, 과오 3.싸움, 사고, 말썽",まちがい,
