T,D,P
可能性,[명사] 1.가능성 2.실현될 전망 3.잠재적인 발전성,かのうせい,
反対,"[명사, ダナ] 어떤 사물과의 대립 관계에 있음",はんたい,
散在,"[명사, ス자동사] 산재",さんざい,
何事,"[명사] 1.어떤 일, 무슨 일 2.모든 일, 만사",なにごと,
合理的,[ダナ] 합리적,ごうりてき,
一人前,"[명사] 1.일인분, 한 사람 몫 2.어른",いちにんまえ,
事故,[명사] 사고,じこ,
評価,"[명사, ス타동사] 1.평가 2.가치·값 을 매김 3.가치 를 인정함",ひょうか,
理想的,[ダナ] 이상적,りそうてき,
保護者,[명사] 보호자,ほごしゃ,
欠席記録,"[명사, ス자동사·타동사] 결석, 나가야 할 자리에 나가지 않음",けっせき,
発展,"[명사, ス자동사] 1.발전 2.세력이 성대해짐 3.높은 단계로 나아감",はってん,
分身,[명사] 분신,ぶんしん,
元気,"[명사, ダナ] 원기, 기력, 건강한 모양",げんき,
利己的,[ダナ] 이기적,りこてき,
美学,[명사] 미학,びがく,
番組,"[명사] 방송(프로그램), 편성이나 순서, 또 그것을 쓴 것",ばんぐみ,
点数,[명사] 1.점수 2.득점수 3.물건의 수,てんすう,
病身,[명사] 병든 몸,びょうしん,
機会,"[명사] 기회, 가장 좋은 시기나 때",きかい,
欲張,[명사ノナ] 욕심이 많음,よくばり,
無責任,"[명사, ダナノ] 1.무책임 2.책임 없음 3.책임 관념이 없음",むせきにん,
自覚,"[명사, ス자동사·타동사] 1.자각 2.분명히 아는 것",じかく,
重荷,"[명사] 1.무거운 짐 2.무게가 나가는 짐 3.과중한 부 담·책임, 괴로운 일, 짐스러운 일",おもに,
確信,"[명사, ス타동사] 확신",かくしん,
数字,"[명사] 1.숫자, 수치 2.수를 나타내는 글자",すうじ,
修理,"[명사, ス타동사] 수리, 수선, 부서 지거나 고장 난 부분을 손보아 고치는 것",しゅうり,
説得,"[명사, ス타동사] 설득, 상대가 납득하도록 깨우쳐 말하는 것",せっとく,
嫌悪,"[명사, ス타동사] 혐오, 미워하고 싫어함",けんお,
読者,[명사] 독자,どくしゃ,
意思,[명사] 1.의사 2.무엇을 하고자 하는 근 원이 되는 생각∙의도,いし,
段階,[명사] 1.단계 2.등급 3.순서,だんかい,
部分的,[ダナ] 부분적,ぶぶんてき,
見回,"[5단활용 자동사] 돌아보다, 돌(아다니)다, 둘러보다",みまわる,
平地,[명사] 평지,へいち,
表出,"[명사, ス타동사] 표출, 마음속 의 느낌이나 생 각 따위를 밖에 나타냄",ひょうしゅつ,
価値,"[명사] 1.가치 2.값, 값어치, 유용성 3. 경제 상품이나 재화의 효용",かち,
充分,"[부사, ダナ] 충분함, 십분, 부족 함이 없음",じゅうぶん,
開発,"[명사, ス타동사] 1.개발 2.천연자원을 활용하는 것 3.새로운 제품이나 기술을 실용화하는 것",かいはつ,
決心,"[명사, ス자동사·타동사] 결심",けっしん,
反応,"[명사, ス자동사] 반응",はんのう,
本質的,[ダナ] 본질적,ほんしつてき,
色彩,"[명사] 1.색채 2.빛깔, 색조 3.특색, 성질, 경향",しきさい,
面目,"[명사] 면목, 체면, 명예",めんぼく,
習慣,"[명사] 1.습관 2.풍습, 관습",しゅうかん,
適当,"[ダナノ, ス자동사] 1.적당(함) 2.꼭 들어맞음, 적절함, 적합함, 알맞음 3.(요령을 부리어) 대강대강 함, 적당히 함",てきとう,
接近,"[명사, ス자동사] 접근",せっきん,
屋上,[명사] 1.옥상 2.지붕의 위,おくじょう,
万物,[명사] 만물,ばんぶつ,
経験,"[명사, ス타동사] 경험",けいけん,
彼氏,"[명사] 임, 그이, 애인 또는 남편 되는 사람",かれし,
過去,"[명사] 1.과거 2.지난날, 옛날 3.(알리고 싶지 않은) 전력",かこ,
副産物,[명사] 부산물,ふくさんぶつ,
一抹,"[명사] 일말, 이 살짝 스쳐 간 정도 로) 아주 약간, 한 줄기",いちまつ,
決意,"[명사, ス자동사·타동사] 결의, 결심",けつい,
修復,"[명사, ス타동사] 1.수복 2.복원 3.본래의 좋은 관계로 되돌아감, 회복",しゅうふく,
羅列,"[명사, ス타동사·자동사] 나열",られつ,
満足,"[명사, ス자동사, ダナ] 1.만족 2.바람이 충족되어 불평불만이 없음 3.완전함, 부족함이 없음",まんぞく,
過程,[명사] 과정,かてい,
